2022-05-17 22:35:55 install fonts-dejavu-core:all <none> 2.37-2
2022-05-17 22:35:55 status half-installed fonts-dejavu-core:all 2.37-2
2022-05-17 22:35:55 status unpacked fonts-dejavu-core:all 2.37-2
2022-05-17 22:35:55 install fontconfig-config:all <none> 2.13.1-4.2
2022-05-17 22:35:55 status half-installed fontconfig-config:all 2.13.1-4.2
2022-05-17 22:35:56 status unpacked fontconfig-config:all 2.13.1-4.2
2022-05-17 22:35:56 install libmd0:amd64 <none> 1.0.3-3
2022-05-17 22:35:56 status half-installed libmd0:amd64 1.0.3-3
2022-05-17 22:35:56 status unpacked libmd0:amd64 1.0.3-3
2022-05-17 22:35:56 install libbsd0:amd64 <none> 0.11.3-1
2022-05-17 22:35:56 status half-installed libbsd0:amd64 0.11.3-1
2022-05-17 22:35:56 status unpacked libbsd0:amd64 0.11.3-1
2022-05-17 22:35:56 install libdeflate0:amd64 <none> 1.7-1
2022-05-17 22:35:56 status half-installed libdeflate0:amd64 1.7-1
2022-05-17 22:35:56 status unpacked libdeflate0:amd64 1.7-1
2022-05-17 22:35:56 install libexpat1:amd64 <none> 2.2.10-2+deb11u3
2022-05-17 22:35:56 status half-installed libexpat1:amd64 2.2.10-2+deb11u3
2022-05-17 22:35:56 status unpacked libexpat1:amd64 2.2.10-2+deb11u3
2022-05-17 22:35:56 install libpng16-16:amd64 <none> 1.6.37-3
2022-05-17 22:35:56 status half-installed libpng16-16:amd64 1.6.37-3
2022-05-17 22:35:56 status unpacked libpng16-16:amd64 1.6.37-3
2022-05-17 22:35:56 install libfreetype6:amd64 <none> 2.10.4+dfsg-1
2022-05-17 22:35:56 status half-installed libfreetype6:amd64 2.10.4+dfsg-1
2022-05-17 22:35:56 status unpacked libfreetype6:amd64 2.10.4+dfsg-1
2022-05-17 22:35:56 install libfontconfig1:amd64 <none> 2.13.1-4.2
2022-05-17 22:35:56 status half-installed libfontconfig1:amd64 2.13.1-4.2
2022-05-17 22:35:56 status unpacked libfontconfig1:amd64 2.13.1-4.2
2022-05-17 22:35:56 install libjpeg62-turbo:amd64 <none> 1:2.0.6-4
2022-05-17 22:35:56 status half-installed libjpeg62-turbo:amd64 1:2.0.6-4
2022-05-17 22:35:56 status unpacked libjpeg62-turbo:amd64 1:2.0.6-4
2022-05-17 22:35:56 install libjbig0:amd64 <none> 2.1-3.1+b2
2022-05-17 22:35:56 status half-installed libjbig0:amd64 2.1-3.1+b2
2022-05-17 22:35:56 status unpacked libjbig0:amd64 2.1-3.1+b2
2022-05-17 22:35:56 install libwebp6:amd64 <none> 0.6.1-2.1
2022-05-17 22:35:56 status half-installed libwebp6:amd64 0.6.1-2.1
2022-05-17 22:35:56 status unpacked libwebp6:amd64 0.6.1-2.1
2022-05-17 22:35:56 install libtiff5:amd64 <none> 4.2.0-1+deb11u1
2022-05-17 22:35:56 status half-installed libtiff5:amd64 4.2.0-1+deb11u1
2022-05-17 22:35:56 status unpacked libtiff5:amd64 4.2.0-1+deb11u1
2022-05-17 22:35:56 install libxau6:amd64 <none> 1:1.0.9-1
2022-05-17 22:35:56 status half-installed libxau6:amd64 1:1.0.9-1
2022-05-17 22:35:56 status unpacked libxau6:amd64 1:1.0.9-1
2022-05-17 22:35:56 install libxdmcp6:amd64 <none> 1:1.1.2-3
2022-05-17 22:35:56 status half-installed libxdmcp6:amd64 1:1.1.2-3
2022-05-17 22:35:56 status unpacked libxdmcp6:amd64 1:1.1.2-3
2022-05-17 22:35:56 install libxcb1:amd64 <none> 1.14-3
2022-05-17 22:35:56 status half-installed libxcb1:amd64 1.14-3
2022-05-17 22:35:56 status unpacked libxcb1:amd64 1.14-3
2022-05-17 22:35:56 install libx11-data:all <none> 2:1.7.2-1
2022-05-17 22:35:56 status half-installed libx11-data:all 2:1.7.2-1
2022-05-17 22:35:56 status unpacked libx11-data:all 2:1.7.2-1
2022-05-17 22:35:56 install libx11-6:amd64 <none> 2:1.7.2-1
2022-05-17 22:35:56 status half-installed libx11-6:amd64 2:1.7.2-1
2022-05-17 22:35:56 status unpacked libx11-6:amd64 2:1.7.2-1
2022-05-17 22:35:56 install libxpm4:amd64 <none> 1:3.5.12-1
2022-05-17 22:35:56 status half-installed libxpm4:amd64 1:3.5.12-1
2022-05-17 22:35:56 status unpacked libxpm4:amd64 1:3.5.12-1
2022-05-17 22:35:56 install libgd3:amd64 <none> 2.3.0-2
2022-05-17 22:35:56 status half-installed libgd3:amd64 2.3.0-2
2022-05-17 22:35:57 status unpacked libgd3:amd64 2.3.0-2
